Date,Description,Amount,Category
16-05-2024,UPI/ZOMATO,1449.66,Food
05-08-2023,DISNEY+ HOTSTAR,378.9,Entertainment
03-08-2023,UPI/SWIGGY,2051.68,Food
11-08-2024,UNIQLO,7965.19,Shopping
17-05-2023,DOMINOS PIZZA,1351.29,Food
19-02-2023,BESCOM BILL,1568.26,Utilities
03-10-2024,BOOKMYSHOW,676.83,Entertainment
05-08-2023,DISNEY+ HOTSTAR,1017.83,Entertainment
09-02-2024,STARBUCKS,677.94,Food
25-05-2024,UPI/SWIGGY,1196.88,Food
08-12-2023,ZARA,3074.5,Shopping
15-02-2023,SBI HOME LOAN EMI,38218.62,EMI
04-01-2023,DOMINOS PIZZA,2409.57,Food
17-03-2024,DOMINOS PIZZA,2252.24,Food
28-11-2023,ZARA,3022.96,Shopping
07-11-2024,GROCERY STORE,1115.66,Food
15-08-2024,SPOTIFY PREMIUM,397.57,Entertainment
25-04-2023,JIO FIBER,2242.76,Utilities
04-01-2023,UPI/DECATHLON,2477.31,Shopping
05-05-2023,BLINKIT,190.47,Food
31-08-2023,BAJAJ FINSERV EMI,35734.78,EMI
27-08-2024,UPI/ZOMATO,2136.57,Food
20-05-2023,UPI/ZOMATO,225.4,Food
28-12-2023,PVR CINEMAS,495.64,Entertainment
27-09-2024,DOMINOS PIZZA,2366.15,Food
13-12-2024,BESCOM BILL,2349.55,Utilities
29-06-2023,DOMINOS PIZZA,278.24,Food
12-04-2023,CREDIT - SALARY,90592.82,Salary
17-01-2024,BOOKMYSHOW,592.99,Entertainment
08-01-2024,ZARA,810.09,Shopping
12-06-2024,FLIPKART,2788.81,Shopping
12-05-2023,BESCOM BILL,927,Utilities
11-10-2023,BOOKMYSHOW,1365.84,Entertainment
01-08-2023,MYNTRA,6961.95,Shopping
25-04-2023,UPI/DECATHLON,923.14,Shopping
18-01-2024,FLIPKART,2834.18,Shopping
09-12-2024,STARBUCKS,2088.5,Food
24-10-2023,UPI/ZOMATO,1698.02,Food
16-03-2023,FLIPKART,1296.84,Shopping
14-07-2023,BOOKMYSHOW,246.87,Entertainment
25-03-2024,PVR CINEMAS,828.09,Entertainment
23-09-2023,DISNEY+ HOTSTAR,811.45,Entertainment
19-02-2024,UPI/SWIGGY,1640.97,Food
18-02-2024,UPI/DECATHLON,7508.24,Shopping
03-09-2024,DOMINOS PIZZA,317.71,Food
17-04-2023,IGL GAS BILL,1767.78,Utilities
25-05-2024,FLIPKART,4183.1,Shopping
27-09-2024,SALARY CREDIT - TCS,85599.78,Salary
24-05-2024,BLINKIT,2041.23,Food
07-09-2023,AIRTEL POSTPAID,787.9,Utilities
06-07-2024,HOUSE RENT,33424.69,Rent
13-08-2024,FLIPKART,7607.02,Shopping
05-05-2024,BOOKMYSHOW,486.4,Entertainment
14-05-2023,BLINKIT,577.04,Food
09-04-2024,AIRTEL POSTPAID,758.06,Utilities
05-01-2024,AMAZON INDIA,6927.38,Shopping
31-05-2023,ACH DEBIT - HDFC HOME LOAN,43733.58,EMI
27-04-2024,UPI/KFC,357.47,Food
11-03-2023,MCDONALDS,872.06,Food
31-05-2023,UPI/RENT TRANSFER,29515.59,Rent
13-02-2024,NETFLIX SUB,612.08,Entertainment
01-12-2023,ZARA,2850.97,Shopping
08-10-2023,NPS CONTRIBUTION,11313.07,Investment
05-01-2024,SPOTIFY PREMIUM,453.13,Entertainment
17-05-2023,BOOKMYSHOW,209.59,Entertainment
28-03-2024,SPOTIFY PREMIUM,835.75,Entertainment
10-09-2024,UPI/SWIGGY,645.81,Food
14-06-2023,SPOTIFY PREMIUM,1295.69,Entertainment
12-08-2023,SBI HOME LOAN EMI,32259.7,EMI
04-05-2024,UNIQLO,3573.03,Shopping
07-09-2024,MCDONALDS,1404.93,Food
18-08-2024,FLIPKART,4427.72,Shopping
04-05-2023,UPI/ZOMATO,862.61,Food
19-02-2024,UPI/DECATHLON,3593.61,Shopping
06-01-2024,TO LANDLORD,16011.77,Rent
27-07-2024,BESCOM BILL,2770.39,Utilities
20-10-2023,GROCERY STORE,1741.71,Food
20-12-2023,ZARA,998.46,Shopping
01-09-2024,TO LANDLORD,32076.65,Rent
06-08-2023,DOMINOS PIZZA,1653.67,Food
19-04-2024,UPI/KFC,951.55,Food
29-05-2024,BOOKMYSHOW,1292.33,Entertainment
22-03-2024,AIRTEL POSTPAID,687.85,Utilities
06-06-2023,ZARA,6575.47,Shopping
02-05-2023,DISNEY+ HOTSTAR,1060.61,Entertainment
03-06-2023,UNIQLO,1528.21,Shopping
07-03-2024,DISNEY+ HOTSTAR,313.14,Entertainment
18-01-2023,JIO FIBER,2811.18,Utilities
28-04-2023,AMAZON INDIA,2393.96,Shopping
17-07-2024,UPI/DECATHLON,3106.21,Shopping
24-07-2023,GROCERY STORE,424.97,Food
15-06-2024,UNIQLO,4290.98,Shopping
05-01-2024,FLIPKART,2722.66,Shopping
29-09-2023,STARBUCKS,2395.37,Food
07-05-2024,ZERODHA BROKING,13454.15,Investment
24-05-2023,BOOKMYSHOW,569.67,Entertainment
29-06-2024,PPF TRANSFER,19053.58,Investment
25-03-2023,GROWW SIP,16954.9,Investment
10-06-2024,IGL GAS BILL,1972.13,Utilities
01-01-2023,ZARA,6789.51,Shopping
23-02-2023,IGL GAS BILL,2549.06,Utilities
15-06-2023,UPI/DECATHLON,6558.29,Shopping
28-08-2023,MCDONALDS,1137.46,Food
22-06-2023,BESCOM BILL,2221.48,Utilities
03-09-2024,UPI/DECATHLON,6460.23,Shopping
17-11-2024,GROCERY STORE,680.98,Food
18-08-2024,UPI/DECATHLON,1643.04,Shopping
29-03-2024,UNIQLO,591.28,Shopping
08-08-2023,UPI/RENT TRANSFER,29407.72,Rent
26-02-2024,ZERODHA BROKING,12622.23,Investment
29-09-2024,GROWW SIP,19835.58,Investment
14-03-2024,BLINKIT,287.35,Food
21-09-2023,STARBUCKS,969.89,Food
05-01-2023,UPI/ZOMATO,1632.76,Food
15-12-2024,UPI/SWIGGY,876.51,Food
27-05-2023,PVR CINEMAS,321.47,Entertainment
19-11-2024,BAJAJ FINSERV EMI,27855.2,EMI
28-12-2023,BOOKMYSHOW,324.68,Entertainment
04-05-2023,MYNTRA,6332.81,Shopping
22-04-2024,GROWW SIP,7146.27,Investment
09-12-2023,SPOTIFY PREMIUM,1252.14,Entertainment
04-09-2023,STARBUCKS,1769.32,Food
24-10-2024,SPOTIFY PREMIUM,833.6,Entertainment
12-01-2023,STARBUCKS,2119.67,Food
03-04-2023,IGL GAS BILL,2566.21,Utilities
10-06-2023,NETFLIX SUB,299.86,Entertainment
18-05-2023,FLIPKART,3352.76,Shopping
16-11-2023,DISNEY+ HOTSTAR,764.86,Entertainment
21-11-2024,AMAZON INDIA,1320.49,Shopping
13-04-2024,UPI/ZOMATO,1439.64,Food
24-12-2024,ZARA,7209.78,Shopping
13-09-2024,BOOKMYSHOW,1428.25,Entertainment
11-07-2024,AMAZON INDIA,7967.49,Shopping
24-02-2023,IGL GAS BILL,1772.96,Utilities
05-03-2024,ZARA,6088.46,Shopping
30-08-2023,SPOTIFY PREMIUM,1441.93,Entertainment
28-02-2023,MCDONALDS,2064.24,Food
15-01-2023,ACH DEBIT - HDFC HOME LOAN,29277.26,EMI
16-11-2023,UPI/KFC,2293.59,Food
03-05-2023,SPOTIFY PREMIUM,267.9,Entertainment
17-09-2024,UNIQLO,2540.39,Shopping
03-12-2024,BESCOM BILL,2773.14,Utilities
17-02-2024,UPI/SWIGGY,1121.74,Food
29-06-2023,STARBUCKS,2242.37,Food
28-10-2023,DOMINOS PIZZA,1715.33,Food
10-01-2024,GROCERY STORE,564.65,Food
11-12-2023,FLIPKART,2312.53,Shopping
26-10-2024,PPF TRANSFER,6269.22,Investment
28-01-2024,FLIPKART,5667.68,Shopping
25-06-2023,ZARA,1880.89,Shopping
21-05-2024,UPI/KFC,1130.51,Food
25-02-2024,UPI/ZOMATO,2096.32,Food
19-01-2023,DISNEY+ HOTSTAR,868.36,Entertainment
27-03-2023,GROCERY STORE,305.93,Food
03-01-2024,BOOKMYSHOW,1044.94,Entertainment
06-03-2023,UPI/ZOMATO,1591.84,Food
11-06-2023,MYNTRA,2213.93,Shopping
06-09-2024,UPI/ZOMATO,785.33,Food
07-05-2023,ZARA,2944.81,Shopping
05-07-2024,BOOKMYSHOW,806.21,Entertainment
15-04-2024,UNIQLO,3217.6,Shopping
05-01-2023,IGL GAS BILL,572.56,Utilities
25-10-2023,ZARA,1894.96,Shopping
08-01-2023,MCDONALDS,1560.21,Food
28-11-2024,MCDONALDS,1208.15,Food
19-12-2024,BESCOM BILL,2777.43,Utilities
31-08-2024,FLIPKART,3923.14,Shopping
04-06-2023,CREDIT - SALARY,123293.45,Salary
12-03-2024,UPI/SWIGGY,1471.87,Food
10-12-2024,BOOKMYSHOW,1041.98,Entertainment
30-05-2023,UPI/SWIGGY,1163.91,Food
28-03-2024,UNIQLO,6678.9,Shopping
24-07-2024,BLINKIT,2114.8,Food
16-03-2023,AMAZON INDIA,5420.09,Shopping
17-09-2023,PPF TRANSFER,6717.15,Investment
19-09-2024,UNIQLO,5630.36,Shopping
22-11-2024,NETFLIX SUB,498.87,Entertainment
08-05-2024,UPI/DECATHLON,7388.63,Shopping
31-01-2024,GROCERY STORE,177.32,Food
25-04-2024,SPOTIFY PREMIUM,798.19,Entertainment
29-08-2024,UPI/KFC,901.73,Food
07-04-2023,NETFLIX SUB,608.18,Entertainment
14-07-2024,UPI/ZOMATO,2192.24,Food
30-08-2024,JIO FIBER,1417.99,Utilities
14-09-2023,ACH DEBIT - HDFC HOME LOAN,35083.55,EMI
09-02-2024,UPI/SWIGGY,1840.31,Food
21-03-2024,UPI/ZOMATO,989.75,Food
06-12-2023,SPOTIFY PREMIUM,551.23,Entertainment
18-08-2024,GROCERY STORE,966.94,Food
30-10-2024,AIRTEL POSTPAID,2300.47,Utilities
28-05-2024,IGL GAS BILL,1725.98,Utilities
25-02-2024,GROCERY STORE,250.21,Food
08-03-2024,ZARA,6042.87,Shopping
18-07-2024,ICICI CAR LOAN,44298.43,EMI
18-01-2024,UNIQLO,663.42,Shopping
04-04-2023,MCDONALDS,1475.82,Food
06-02-2023,GROCERY STORE,1344.16,Food
08-05-2023,AMAZON INDIA,7732.03,Shopping
31-01-2023,SPOTIFY PREMIUM,901.2,Entertainment
07-12-2024,PVR CINEMAS,772,Entertainment
04-09-2024,AIRTEL POSTPAID,1217.45,Utilities
16-12-2023,UPI/KFC,1975.82,Food
13-03-2024,MCDONALDS,646.23,Food
24-06-2024,GROCERY STORE,2307.91,Food
13-10-2024,BLINKIT,1066.75,Food
13-11-2023,UPI/SWIGGY,2182.42,Food
17-10-2023,BESCOM BILL,2940.56,Utilities
11-06-2023,AIRTEL POSTPAID,2540.43,Utilities
26-06-2023,UPI/KFC,2051.82,Food
21-07-2023,UPI/KFC,219.62,Food
10-03-2024,AIRTEL POSTPAID,2934.17,Utilities
27-02-2024,SPOTIFY PREMIUM,223.98,Entertainment
13-08-2024,STARBUCKS,1003.4,Food
06-12-2024,GROCERY STORE,2496.37,Food
25-03-2024,MYNTRA,7103.22,Shopping
19-09-2024,UPI/SWIGGY,698.63,Food
31-07-2024,SPOTIFY PREMIUM,796.87,Entertainment
15-11-2023,ZERODHA BROKING,15747.85,Investment
28-05-2023,PVR CINEMAS,689.27,Entertainment
19-01-2023,MCDONALDS,2201.21,Food
30-01-2023,MCDONALDS,1574.73,Food
05-08-2024,MYNTRA,5442.63,Shopping
18-01-2024,UPI/ZOMATO,776.18,Food
10-02-2024,MCDONALDS,381.77,Food
26-11-2023,JIO FIBER,2578.32,Utilities
31-05-2024,SPOTIFY PREMIUM,469.27,Entertainment
04-08-2024,NETFLIX SUB,579.27,Entertainment
16-05-2023,UPI/SWIGGY,954.16,Food
02-02-2023,INFOSYS SALARY,95311.89,Salary
21-03-2024,BOOKMYSHOW,626.17,Entertainment
12-06-2023,PPF TRANSFER,6069.92,Investment
23-06-2023,AIRTEL POSTPAID,1657.09,Utilities
19-08-2024,NETFLIX SUB,1376.59,Entertainment
12-05-2023,NOBROKER RENT,33230.86,Rent
06-11-2023,UNIQLO,7930.22,Shopping
26-10-2023,UPI/KFC,2067.55,Food
25-02-2024,FLIPKART,3005.53,Shopping
29-09-2023,DISNEY+ HOTSTAR,391.37,Entertainment
12-07-2023,AIRTEL POSTPAID,1980.44,Utilities
15-02-2023,DOMINOS PIZZA,1080.5,Food
15-10-2024,BOOKMYSHOW,1423.44,Entertainment
25-12-2023,UPI/KFC,1060.49,Food
17-05-2024,ZERODHA BROKING,19380.32,Investment
29-08-2023,DISNEY+ HOTSTAR,872.12,Entertainment
12-11-2024,PVR CINEMAS,300.38,Entertainment
17-03-2023,UPI/SWIGGY,1733.79,Food
18-05-2023,UPI/DECATHLON,1595.91,Shopping
07-09-2023,MCDONALDS,2036.04,Food
16-04-2023,SALARY CREDIT - TCS,122372.1,Salary
26-08-2023,BOOKMYSHOW,910.11,Entertainment
19-04-2024,UNIQLO,6403.42,Shopping
11-01-2023,MYNTRA,2615.65,Shopping
31-10-2023,GROCERY STORE,1701.25,Food
03-02-2024,DOMINOS PIZZA,775.75,Food
03-09-2023,MYNTRA,7844.99,Shopping
15-02-2024,UPI/ZOMATO,1683.84,Food
10-12-2023,JIO FIBER,1667.54,Utilities
28-06-2023,STARBUCKS,793.39,Food
13-06-2024,ZARA,2071.14,Shopping
19-03-2024,AIRTEL POSTPAID,1859.65,Utilities
09-07-2024,CREDIT - SALARY,142329.97,Salary
28-12-2023,NETFLIX SUB,1059.55,Entertainment
23-05-2024,IGL GAS BILL,550.48,Utilities
30-07-2023,GROCERY STORE,2113.78,Food
17-09-2023,UNIQLO,1921.26,Shopping
07-10-2024,MCDONALDS,1613.21,Food
21-01-2024,GROCERY STORE,871.68,Food
24-12-2023,CREDIT - SALARY,112417.71,Salary
22-09-2023,AIRTEL POSTPAID,1540.67,Utilities
10-04-2024,NETFLIX SUB,534.01,Entertainment
03-04-2023,BOOKMYSHOW,1361.62,Entertainment
04-08-2024,DISNEY+ HOTSTAR,1257.42,Entertainment
08-10-2024,MCDONALDS,213.48,Food
26-08-2023,FLIPKART,6001.6,Shopping
25-03-2023,PVR CINEMAS,311.52,Entertainment
17-04-2024,DISNEY+ HOTSTAR,1391.42,Entertainment
13-02-2023,ZARA,5733.45,Shopping
02-06-2024,DOMINOS PIZZA,355.05,Food
12-11-2023,MCDONALDS,1070.72,Food
19-09-2023,NETFLIX SUB,1084.11,Entertainment
28-08-2024,GROCERY STORE,1236.86,Food
05-03-2023,UPI/SWIGGY,340.42,Food
01-09-2024,GROCERY STORE,2086.87,Food
25-01-2023,BLINKIT,638.28,Food
26-12-2023,UPI/SWIGGY,1456.22,Food
03-08-2024,AMAZON INDIA,2510.84,Shopping
09-08-2023,DOMINOS PIZZA,2274.23,Food
13-08-2023,MCDONALDS,1011.73,Food
29-08-2024,NPS CONTRIBUTION,12583.3,Investment
15-03-2024,BLINKIT,1754.06,Food
30-06-2024,AMAZON INDIA,7472.43,Shopping
21-10-2023,DOMINOS PIZZA,454.02,Food
11-06-2023,SPOTIFY PREMIUM,473.55,Entertainment
29-12-2023,GROCERY STORE,1514.63,Food
03-02-2023,SBI HOME LOAN EMI,25985.73,EMI
27-03-2024,BOOKMYSHOW,595.08,Entertainment
12-11-2024,PVR CINEMAS,1166.42,Entertainment
13-09-2023,UPI/KFC,2048.9,Food
14-10-2023,PPF TRANSFER,10314.88,Investment
25-01-2024,UPI/KFC,351.56,Food
04-07-2023,PVR CINEMAS,1048.26,Entertainment
10-06-2023,MYNTRA,3841.36,Shopping
06-01-2023,NPS CONTRIBUTION,17643.11,Investment
31-08-2023,UPI/DECATHLON,6048.03,Shopping
24-08-2024,MYNTRA,5648.19,Shopping
24-01-2023,DOMINOS PIZZA,2072.03,Food
01-07-2023,ACCENTURE PAYROLL,125047.35,Salary
08-10-2024,ZARA,3625.26,Shopping
03-01-2023,NETFLIX SUB,1407.95,Entertainment
09-10-2023,PVR CINEMAS,1210.05,Entertainment
10-09-2024,AIRTEL POSTPAID,2115.51,Utilities
01-12-2023,ZARA,1972.34,Shopping
14-07-2024,IGL GAS BILL,2730.5,Utilities
31-05-2024,MYNTRA,7802.25,Shopping
14-06-2024,AIRTEL POSTPAID,2982.23,Utilities
16-02-2024,SPOTIFY PREMIUM,896.81,Entertainment
15-12-2024,STARBUCKS,1866.55,Food
09-08-2024,UPI/SWIGGY,1246.66,Food
18-08-2024,UPI/ZOMATO,1591.84,Food
31-01-2024,PVR CINEMAS,1131.04,Entertainment
26-12-2024,FLIPKART,764.74,Shopping
30-06-2024,AMAZON INDIA,1241.01,Shopping
03-02-2023,IGL GAS BILL,1680.98,Utilities
23-03-2024,MYNTRA,5058.74,Shopping
26-08-2023,UNIQLO,4673.37,Shopping
29-05-2024,UPI/ZOMATO,630.69,Food
25-11-2024,STARBUCKS,898.5,Food
07-08-2023,PVR CINEMAS,1194.85,Entertainment
22-09-2023,NETFLIX SUB,585.45,Entertainment
02-09-2023,ZARA,2399.32,Shopping
10-07-2023,UPI/ZOMATO,858.8,Food
27-03-2024,ZARA,697.99,Shopping
23-04-2024,FLIPKART,6158.63,Shopping
16-09-2024,AMAZON INDIA,5634.29,Shopping
05-10-2023,STARBUCKS,1020.21,Food
22-07-2024,PVR CINEMAS,319.96,Entertainment
28-07-2023,STARBUCKS,1553.3,Food
26-01-2024,CREDIT - SALARY,99386.32,Salary
02-05-2024,UPI/ZOMATO,1589.09,Food
04-05-2024,UPI/ZOMATO,1312.46,Food
08-06-2023,CREDIT - SALARY,122660.85,Salary
21-07-2023,GROWW SIP,5314.05,Investment
01-12-2023,NETFLIX SUB,993.38,Entertainment
29-09-2023,BLINKIT,231.02,Food
11-04-2024,UPI/SWIGGY,1945.14,Food
27-04-2024,UPI/KFC,1790.03,Food
07-10-2024,CREDIT - SALARY,143692.41,Salary
20-12-2023,IGL GAS BILL,1769.7,Utilities
19-02-2023,UPI/KFC,497.69,Food
24-08-2023,AIRTEL POSTPAID,1424.64,Utilities
22-11-2023,BOOKMYSHOW,579.92,Entertainment
30-09-2023,GROWW SIP,14280.08,Investment
03-10-2023,INFOSYS SALARY,121785.67,Salary
25-08-2024,STARBUCKS,2001.65,Food
09-11-2023,AIRTEL POSTPAID,1845.48,Utilities
27-04-2023,IGL GAS BILL,1681.86,Utilities
25-12-2024,CREDIT - SALARY,147247.34,Salary
09-10-2023,JIO FIBER,828.12,Utilities
20-01-2024,BLINKIT,1536.25,Food
23-09-2023,NETFLIX SUB,319.02,Entertainment
26-02-2024,STARBUCKS,1961.48,Food
03-09-2023,DOMINOS PIZZA,1904.46,Food
21-11-2023,ZARA,6087.19,Shopping
10-05-2024,AMAZON INDIA,690.15,Shopping
26-09-2023,ZERODHA BROKING,9649.94,Investment
11-11-2023,SPOTIFY PREMIUM,401.01,Entertainment
19-10-2023,UPI/DECATHLON,1458.08,Shopping
25-08-2023,MCDONALDS,1687.92,Food
25-07-2023,MCDONALDS,167.97,Food
26-11-2024,PPF TRANSFER,9819.3,Investment
21-10-2023,GROCERY STORE,1370.94,Food
30-09-2023,BESCOM BILL,1554.08,Utilities
28-06-2024,DISNEY+ HOTSTAR,1182.1,Entertainment
03-02-2024,AMAZON INDIA,6774.4,Shopping
20-04-2023,JIO FIBER,839.16,Utilities
13-11-2024,GROWW SIP,8372.43,Investment
31-12-2023,AMAZON INDIA,3388.04,Shopping
02-06-2024,MCDONALDS,430.74,Food
05-01-2024,AMAZON INDIA,5987.32,Shopping
09-01-2023,UPI/DECATHLON,2532.63,Shopping
24-05-2024,DOMINOS PIZZA,871.27,Food
19-02-2024,UPI/DECATHLON,5198.05,Shopping
11-09-2024,NETFLIX SUB,1190.2,Entertainment
28-06-2023,NPS CONTRIBUTION,13342.26,Investment
01-08-2023,ICICI CAR LOAN,26058.91,EMI
05-06-2024,JIO FIBER,2824.49,Utilities
13-01-2023,FLIPKART,3503.5,Shopping
30-04-2024,DOMINOS PIZZA,2265.95,Food
09-01-2024,ACH DEBIT - HDFC HOME LOAN,40424.19,EMI
05-04-2023,ZARA,1948.85,Shopping
05-09-2023,UPI/DECATHLON,2957.18,Shopping
01-05-2024,UPI/SWIGGY,2289.16,Food
06-08-2023,DOMINOS PIZZA,1529.97,Food
09-02-2023,UPI/DECATHLON,7585.46,Shopping
03-11-2024,GROCERY STORE,781.76,Food
06-03-2023,STARBUCKS,1045.63,Food
01-11-2023,ICICI CAR LOAN,25882.64,EMI
16-08-2024,AIRTEL POSTPAID,1401.93,Utilities
25-06-2023,MCDONALDS,523.88,Food
23-08-2024,UPI/SWIGGY,524.49,Food
19-10-2024,BOOKMYSHOW,693.59,Entertainment
20-05-2023,MYNTRA,4576.44,Shopping
24-06-2023,UNIQLO,591.83,Shopping
20-06-2024,UNIQLO,7404.28,Shopping
12-02-2024,STARBUCKS,670.8,Food
22-04-2024,PVR CINEMAS,434.4,Entertainment
28-05-2024,UPI/DECATHLON,1649.54,Shopping
23-08-2024,BOOKMYSHOW,387.49,Entertainment
16-04-2023,BLINKIT,620.91,Food
12-11-2024,UPI/ZOMATO,1024.96,Food
09-10-2024,BLINKIT,1093.05,Food
27-04-2024,PVR CINEMAS,1399.69,Entertainment
02-02-2024,FLIPKART,3604.93,Shopping
01-04-2023,BLINKIT,2445.31,Food
01-05-2024,UNIQLO,4353.84,Shopping
09-07-2023,DOMINOS PIZZA,1999.63,Food
29-11-2024,GROCERY STORE,736.98,Food
04-11-2023,NOBROKER RENT,21343.52,Rent
06-06-2024,BOOKMYSHOW,732.26,Entertainment
29-10-2024,NETFLIX SUB,276.43,Entertainment
20-07-2023,HOUSE RENT,28806.36,Rent
19-04-2024,STARBUCKS,1609.75,Food
13-11-2024,AIRTEL POSTPAID,2617.11,Utilities
23-03-2024,NETFLIX SUB,1442.72,Entertainment
04-04-2024,UNIQLO,2727.36,Shopping
09-02-2024,AMAZON INDIA,1017.27,Shopping
18-08-2024,BLINKIT,2287.13,Food
21-05-2023,GROCERY STORE,2025.85,Food
09-04-2024,AMAZON INDIA,3951,Shopping
19-09-2024,UNIQLO,7148.57,Shopping
15-04-2024,ZERODHA BROKING,5151.08,Investment
03-01-2023,AMAZON INDIA,2979.96,Shopping
23-05-2024,GROCERY STORE,1402.66,Food
11-03-2023,DISNEY+ HOTSTAR,204.25,Entertainment
27-09-2024,STARBUCKS,1970.44,Food
09-05-2023,UPI/DECATHLON,6890.77,Shopping
14-04-2024,BOOKMYSHOW,876.84,Entertainment
13-06-2023,FLIPKART,506.45,Shopping
31-08-2023,MYNTRA,1978.85,Shopping
11-02-2024,FLIPKART,7450.1,Shopping
10-04-2023,NPS CONTRIBUTION,18382.39,Investment
01-05-2023,AMAZON INDIA,7706.31,Shopping
13-05-2024,BESCOM BILL,1416.61,Utilities
07-08-2023,ZARA,4333.77,Shopping
29-05-2024,PPF TRANSFER,13847.6,Investment
14-01-2023,BESCOM BILL,1211.83,Utilities
08-07-2023,MYNTRA,7785.82,Shopping
29-08-2024,STARBUCKS,1730.22,Food
14-10-2023,NETFLIX SUB,1340.28,Entertainment
25-01-2023,UPI/KFC,640.96,Food
19-06-2023,UPI/SWIGGY,545.98,Food
30-04-2024,BLINKIT,2224.72,Food
15-08-2024,BLINKIT,2330.6,Food
23-10-2023,GROCERY STORE,1069.9,Food
13-11-2023,FLIPKART,855.68,Shopping
26-12-2023,FLIPKART,1583.91,Shopping
02-10-2024,UPI/ZOMATO,896.72,Food
22-02-2023,UPI/ZOMATO,774.49,Food
23-11-2023,UPI/KFC,2247.86,Food
13-01-2024,BLINKIT,2475.34,Food
13-03-2023,AIRTEL POSTPAID,2704.46,Utilities
05-05-2024,UPI/KFC,2381.91,Food
08-07-2024,DOMINOS PIZZA,337.13,Food
02-03-2023,SPOTIFY PREMIUM,872.53,Entertainment
13-11-2023,BOOKMYSHOW,284.12,Entertainment
02-09-2024,ACCENTURE PAYROLL,121116.91,Salary
26-07-2024,UNIQLO,3577.75,Shopping
06-09-2023,PVR CINEMAS,908.96,Entertainment
03-07-2023,AMAZON INDIA,6051.48,Shopping
18-01-2023,GROWW SIP,19046.73,Investment
02-10-2023,NETFLIX SUB,633.09,Entertainment
11-10-2024,BLINKIT,1033.11,Food
13-06-2024,UPI/SWIGGY,363.04,Food
10-04-2023,AMAZON INDIA,1820.73,Shopping
28-03-2023,FLIPKART,1274.76,Shopping
03-02-2024,STARBUCKS,966.28,Food
05-02-2023,UPI/DECATHLON,4458.84,Shopping
04-06-2023,SPOTIFY PREMIUM,423.12,Entertainment
01-06-2023,SPOTIFY PREMIUM,1267.29,Entertainment
15-11-2024,UPI/ZOMATO,2258.74,Food
03-05-2023,GROCERY STORE,1370.7,Food
